time;power(kw);accuracy(sec)
;4102.125069;
;4112.86071;
;4018.086031;
;4039.695281;
;4053.740067;
;4014.475574;
;4036.817169;
;3996.049078;
;4010.371955;
;4021.997258;
;3987.218508;
;3998.19573;
;3946.210941;
;3969.618427;
;3945.329094;
;3913.720868;
;3948.350473;
;3922.746837;
;3861.924881;
;3921.164414;
;3896.440565;
;3926.651664;
;3521.123265;
;3843.586717;
;3860.255533;
;3836.408598;
;3858.412171;
;3814.205404;
;3871.867675;
;3835.683652;
;3874.770992;
;3847.210603;
;3852.053205;
;3822.377581;
;3866.592833;
;3817.885999;
;3878.10922;
;3860.846554;
;3822.810439;
;3859.75671;
;3893.683899;
;3930.415405;
;3919.134975;
;3890.704834;
;3946.810651;
;3949.039178;
;3970.947765;
;4005.015508;
;4052.366603;
;4089.10756;
;4077.641971;
;4102.505677;
;4110.979124;
;4108.220585;
;4117.536754;
;4135.556888;
;4128.206211;
;4108.885079;
;4110.64277;
;4134.910135;
;4102.293838;
;4101.842209;
;4145.690591;
;4057.120947;
;4192.100013;
;4112.676366;
;4088.77045;
;4089.73799;
;4080.309214;
;4039.209396;
;4103.95034;
;4088.66508;
;4001.054852;
;4041.712249;
;4069.027925;
;4030.112328;
;4054.330235;
;4020.620674;
;4048.555828;
;3979.127842;
;4064.09087;
;4023.025705;
;4044.003183;
;4074.788947;
;4002.273247;
;4045.2978;
;4024.481805;
;4030.220462;
;4060.496241;
;4070.701751;
;4143.010414;
;4088.456012;
;4169.654475;
;4113.979471;
;4115.785475;
;4151.284257;
;4132.693631;
;4116.88325;
;4075.523452;
;4133.531458;
;4134.200516;
;4165.261529;
;4133.864163;
;4136.797253;
;4163.04263;
;4101.741622;
;4144.900619;
;4099.950204;
;4206.624478;
;4257.23866;
;4202.016664;
;4239.517473;
;4261.897867;
;4314.385602;
;4292.420775;
;4310.632629;
;4345.008932;
;4372.347777;
;3986.625015;
;4326.481245;
;4371.643514;
;4344.881616;
;4370.405049;
;4386.874647;
;4332.243642;
;4332.263764;
;4334.688785;
;4390.25724;
;4363.938764;
;4428.60129;
;4400.977731;
;4394.751992;
;4459.80957;
;4558.386407;
;4584.242206;
;4602.771676;
;4695.569615;
;4856.270079;
;5044.902287;
;5318.619041;
;5616.150519;
;5915.046812;
;6652.412118;
;7226.26872;
;7758.725895;
;8421.52984;
;9298.494656;
;10116.19038;
;11127.47978;
;12034.04111;
;12586.06233;
;13068.26211;
;13233.93311;
;13395.03035;
;13308.17758;
;13408.00608;
;13011.88097;
;13068.52453;
;13136.21848;
;13392.76327;
;13653.67291;
;13742.02894;
;13754.59182;
;13791.40464;
;13709.97622;
;13615.43037;
;13100.00374;
;12840.20985;
;12410.35643;
;12510.17926;
;12829.45332;
;13252.53433;
;13447.99853;
;13386.18836;
;13393.12462;
;13229.19736;
;12891.44958;
;12718.18091;
;12583.15506;
;12541.70905;
;12434.2028;
;12136.34144;
;11321.96154;
;10716.38342;
;9732.739346;
;9240.107491;
;8652.695715;
;8181.467589;
;7861.603171;
;7650.572982;
;7492.584709;
;7351.819633;
;7217.437901;
;7195.92323;
;7090.015629;
;6993.095519;
;6927.255729;
;6905.441621;
;6788.753729;
;6724.138654;
;6689.897721;
;6610.939766;
;6467.910844;
;6412.977621;
;6330.62037;
;6280.084733;
;6077.346888;
;6099.595033;
;5921.361721;
;5804.364142;
;5727.292636;
;5656.932452;
;5634.57418;
;5591.220984;
;5138.215836;
;5364.064401;
;5423.889;
;5409.470678;
;5418.970036;
;5328.943275;
;5329.577538;
;5352.208602;
;5348.59922;
;5291.990809;
;5278.23897;
;5252.055671;
;5305.935885;
;5319.556308;
;5287.536806;
;5356.254762;
;5371.132194;
;5446.077258;
;5557.478059;
;5661.238455;
;5888.578896;
;6076.109031;
;6410.486371;
;6714.824064;
;7398.775093;
;7998.092675;
;8517.671591;
;9168.194718;
;10182.85721;
;10909.66738;
;11987.66927;
;12777.18003;
;13144.57779;
;13551.80552;
;13802.12828;
;13767.15388;
;13812.09139;
;13823.9955;
;13373.56813;
;13479.9148;
;13404.49433;
;13598.74388;
;13836.78395;
;13869.76046;
;13843.34805;
;13906.02199;
;13931.60748;
;13684.41773;
;13038.50578;
;12788.21574;
;12392.24764;
;12476.20646;
;12938.0215;
;13165.13235;
;13325.33406;
;13218.51866;
;13257.54966;
;13164.62555;
;12884.68115;
;12739.82038;
;12469.26693;
;12608.29879;
;12537.17557;
;12174.42418;
;11495.02269;
;10827.79946;
;9850.217492;
;9331.651028;
;8711.576084;
;8390.015656;
;8131.316782;
;7891.280984;
;7607.855122;
;7475.85926;
;7410.001329;
;7376.517626;
;7326.287784;
;7221.769217;
;7207.102798;
;7155.532652;
;7035.564454;
;6858.595031;
;6788.970309;
;6702.654599;
;6685.639138;
;6694.215862;
;6593.319724;
;6496.533654;
